proposal_id,skill_id,skill_family,priority,status,core_or_project_specific,required_by_roles,source_rationale,target_runtime_path,product_scaffold_path,validator_plan,owner,source_hash,last_validated_at,notes
proposal_role_catalog_governance,role-catalog-governance,role_governance,1,scaffolded,core,system_director;documentation_librarian,Maintain role registry role-to-skill crosswalk and execution bindings,.agents/skills/role-catalog-governance,Sys4AI/skills/core/role-catalog-governance,validate-roles,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_system_layer_classifier,system-layer-classifier,system_layer_governance,2,scaffolded,core,system_director,Classify development framework template target and derivative layers before work,.agents/skills/system-layer-classifier,Sys4AI/skills/core/system-layer-classifier,validate-system-layers,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_artifact_contract_governance,artifact-contract-governance,artifact_governance,3,scaffolded,core,system_architect;documentation_librarian,Define and validate artifact contracts,.agents/skills/artifact-contract-governance,Sys4AI/skills/core/artifact-contract-governance,validate-artifact-contracts,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_traceability_matrix_engine,traceability-matrix-engine,traceability_governance,4,scaffolded,core,requirements_manager;requirements_verifier,Maintain trace from discovery through validation and maintenance,.agents/skills/traceability-matrix-engine,Sys4AI/skills/core/traceability-matrix-engine,validate-requirement-trace,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_director_decision_governor,director-decision-governor,decision_governance,5,scaffolded,core,system_director,Create validate supersede and apply Director Decision Records,.agents/skills/director-decision-governor,Sys4AI/skills/core/director-decision-governor,validate-director-decisions,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_verification_validation_planner,verification-validation-planner,verification_planning,6,scaffolded,core,technical_requirements_engineer;requirements_verifier;verification_engineer,Convert requirements into V and V plans matrices and evidence obligations,.agents/skills/verification-validation-planner,Sys4AI/skills/core/verification-validation-planner,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_source_authority_auditor,source-authority-auditor,source_authority,7,scaffolded,core,documentation_librarian;context_memory_knowledge_architect,Audit canonical sources derivatives stale docs and authority inversions,.agents/skills/source-authority-auditor,Sys4AI/skills/core/source-authority-auditor,validate-registry-graph,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001.
proposal_context_window_and_handoff_manager,context-window-and-handoff-manager,context_handoff,8,scaffolded,core,bounded_execution_planner,Generalize context checkpoint and resumable handoff behavior,.agents/skills/context-window-and-handoff-manager,Sys4AI/skills/core/context-window-and-handoff-manager,validate-handoffs,system_director,pending,2026-07-10,Bound to the current portable bounded-execution role; original scaffold evidence remains in historical control records.
proposal_threat_model_permission_scope,threat-model-and-permission-scope,safety_security_privacy,9,scaffolded,core,security_safety_privacy_compliance_reviewer,Identify permissions autonomy tool data risks and controls,.agents/skills/threat-model-and-permission-scope,Sys4AI/skills/core/threat-model-and-permission-scope,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_evaluation_harness_designer,evaluation-harness-designer,evaluation_design,10,scaffolded,core,runtime_maintenance_planner;verification_engineer,Design eval scenarios rubrics regression checks and failure probes,.agents/skills/evaluation-harness-designer,Sys4AI/skills/core/evaluation-harness-designer,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_baseline_change_manager,baseline-change-manager,change_control,11,scaffolded,core,svc_documentation_surface_architect,Manage baselines supersession migrations rollback and change evidence,.agents/skills/baseline-change-manager,Sys4AI/skills/core/baseline-change-manager,validate-registry-graph,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_operations_maintenance_planner,operations-and-maintenance-planner,operations_maintenance,13,scaffolded,core,runtime_maintenance_planner,Define monitoring incidents updates evaluation cadence and maintenance,.agents/skills/operations-and-maintenance-planner,Sys4AI/skills/core/operations-and-maintenance-planner,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_project_ontology_glossary,project-ontology-and-glossary,ontology_glossary,14,scaffolded,core,documentation_librarian,Maintain controlled vocabulary ontology and term decisions,.agents/skills/project-ontology-and-glossary,Sys4AI/skills/core/project-ontology-and-glossary,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_domain_pack_router,domain-pack-router,domain_routing,15,scaffolded,core,domain_specialist;system_director,Detect when project-specific domain packs are needed and route accordingly,.agents/skills/domain-pack-router,Sys4AI/skills/core/domain-pack-router,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_requirements_discovery_governor,requirements-discovery-governor,discovery_governance,16,scaffolded,core,user_wants_elicitor;requirements_manager,Govern RDR creation and discovery-to-USRD transition,.agents/skills/requirements-discovery-governor,Sys4AI/skills/core/requirements-discovery-governor,validate-discovery-records,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_interface_integration_discovery,interface-and-integration-discovery,interface_discovery,17,scaffolded,core,system_architect,Identify external systems interfaces data flows owners and integration risks,.agents/skills/interface-and-integration-discovery,Sys4AI/skills/core/interface-and-integration-discovery,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_assurance_case_builder,assurance-case-builder,assurance_case,18,scaffolded,core,security_safety_privacy_compliance_reviewer,Build claims evidence and argument structure for high impact systems,.agents/skills/assurance-case-builder,Sys4AI/skills/core/assurance-case-builder,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001.
proposal_init,init,system_adoption_front_door,0,scaffolded,core,user_wants_elicitor;system_director;requirements_manager,Provide reversible gated front door for greenfield system definition and brownfield adoption,.agents/skills/init,Sys4AI/skills/core/init,make validate,system_director,pending,2026-07-07,Scaffolded in AJ-SFADEV-11-INIT-FRONTDOOR-001.
