director_decision_id,path,status,task_id,selected_route,execution_profile,selected_execution_transaction_id,selected_legacy_execution_id,authority_status,supersedes,source_hash,last_validated_at,notes
DDR-P1-SELFHOST-001,control_records/director_decisions/DDR-P1-SELFHOST-001.yaml,completed,TASK-P1-SELFHOST-001,implement_continue_loop_kernel,legacy_execution_v0_2,,AJ-P1-SELFHOST-CONTINUE-KERNEL-001,controlled,,pending,2026-07-06T00:00:00Z,Completed by Phase 10 self-hosting acceptance receipt
DDR-SFADEV-01-PRD-INTEGRATION-001,control_records/director_decisions/DDR-SFADEV-01-PRD-INTEGRATION-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,integrate_prd_requirements,legacy_execution_v0_2,,AJ-SFADEV-01-PRD-INTEGRATION-001,controlled,,pending,2026-07-07T03:28:46Z,Completed all-recommendations PRD integration selection
DDR-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,control_records/director_decisions/DDR-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,expand_registries_and_schemas,legacy_execution_v0_2,,AJ-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,controlled,,pending,2026-07-07T03:45:23Z,Completed all-recommendations registry and schema expansion selection
DDR-SFADEV-03-DISCOVERY-GATE-001,control_records/director_decisions/DDR-SFADEV-03-DISCOVERY-GATE-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,implement_discovery_gate,legacy_execution_v0_2,,AJ-SFADEV-03-DISCOVERY-GATE-001,controlled,,pending,2026-07-07T03:55:34Z,Completed all-recommendations discovery gate implementation selection
DDR-SFADEV-04-ROLE-GOVERNANCE-001,control_records/director_decisions/DDR-SFADEV-04-ROLE-GOVERNANCE-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,implement_role_governance,legacy_execution_v0_2,,AJ-SFADEV-04-ROLE-GOVERNANCE-001,controlled,,pending,2026-07-07T04:07:48Z,Completed all-recommendations role governance selection
DDR-SFADEV-06-SKILL-LIFECYCLE-001,control_records/director_decisions/DDR-SFADEV-06-SKILL-LIFECYCLE-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,implement_skill_lifecycle_governance,legacy_execution_v0_2,,AJ-SFADEV-06-SKILL-LIFECYCLE-001,controlled,,pending,2026-07-07T04:26:49Z,Completed all-recommendations skill lifecycle governance selection
DDR-SFADEV-07-CORE-SKILLS-BATCH-1-001,control_records/director_decisions/DDR-SFADEV-07-CORE-SKILLS-BATCH-1-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,implement_core_skill_scaffold_batch_1,legacy_execution_v0_2,,AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001,controlled,,pending,2026-07-07T04:42:23Z,Completed all-recommendations core skill scaffold batch 1 selection
DDR-SFADEV-08-CORE-SKILLS-BATCH-2-001,control_records/director_decisions/DDR-SFADEV-08-CORE-SKILLS-BATCH-2-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,implement_core_skill_scaffold_batch_2,legacy_execution_v0_2,,AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001,controlled,,pending,2026-07-07T05:07:55Z,Completed all-recommendations core skill scaffold batch 2 selection
DDR-SFADEV-09-GENERATED-DOCS-001,control_records/director_decisions/DDR-SFADEV-09-GENERATED-DOCS-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,implement_generated_docs_derivative_governance,legacy_execution_v0_2,,AJ-SFADEV-09-GENERATED-DOCS-001,controlled,,pending,2026-07-07T05:19:36Z,Completed all-recommendations generated docs and derivative governance selection
DDR-SFADEV-10-END-TO-END-ACCEPTANCE-001,control_records/director_decisions/DDR-SFADEV-10-END-TO-END-ACCEPTANCE-001.yaml,completed,TASK-SFADEV-ALL-RECS-001,run_end_to_end_acceptance,legacy_execution_v0_2,,AJ-SFADEV-10-END-TO-END-ACCEPTANCE-001,controlled,,pending,2026-07-07T05:32:54Z,Completed all-recommendations end-to-end acceptance selection
DDR-SYS4AI-DEV-NAME-MIGRATION-001,control_records/director_decisions/DDR-SYS4AI-DEV-NAME-MIGRATION-001.yaml,completed,TASK-SYS4AI-DEV-NAME-MIGRATION-001,implement_sys4ai_name_migration,legacy_execution_v0_2,,AJ-SYS4AI-DEV-NAME-MIGRATION-001,controlled,,pending,2026-07-07T12:00:00Z,Completed Sys4AI and Sys4AI-dev name migration selection
DDR-SFADEV-11-INIT-FRONTDOOR-001,control_records/director_decisions/DDR-SFADEV-11-INIT-FRONTDOOR-001.yaml,completed,TASK-SFADEV-INIT-FRONTDOOR-001,implement_init_frontdoor,legacy_execution_v0_2,,AJ-SFADEV-11-INIT-FRONTDOOR-001,controlled,,pending,2026-07-07T18:00:00Z,Completed init front-door implementation selection
DDR-SFADEV-12-DISCOVERY-GATE-SMOKE-001,control_records/director_decisions/DDR-SFADEV-12-DISCOVERY-GATE-SMOKE-001.yaml,completed,TASK-SFADEV-DISCOVERY-GATE-SMOKE-001,run_discovery_gate_smoke_validation,legacy_execution_v0_2,,AJ-SFADEV-12-DISCOVERY-GATE-SMOKE-001,controlled,,pending,2026-07-07T23:58:03Z,Completed discovery gate smoke validation selection
DDR-SFADEV-13-PLAN-CONTROL-001,control_records/director_decisions/DDR-SFADEV-13-PLAN-CONTROL-001.yaml,completed,TASK-SFADEV-PLAN-CONTROL-001,formalize_plan_continue_control,legacy_execution_v0_2,,AJ-SFADEV-13-PLAN-CONTROL-001,controlled,,pending,2026-07-08T00:33:02Z,Completed Director Decision selecting plan-control closeout AgentJob
DDR-SFADEV-14-PLAN-COMPLETION-AUDIT-001,control_records/director_decisions/DDR-SFADEV-14-PLAN-COMPLETION-AUDIT-001.yaml,completed,TASK-SFADEV-PLAN-COMPLETION-AUDIT-001,run_plan_completion_audit,legacy_execution_v0_2,,AJ-SFADEV-14-PLAN-COMPLETION-AUDIT-001,controlled,,pending,2026-07-08T00:46:59Z,Completed Director Decision selecting one plan completion audit AgentJob
DDR-SFADEV-15-NEXT-SCOPE-SELECTION-001,control_records/director_decisions/DDR-SFADEV-15-NEXT-SCOPE-SELECTION-001.yaml,completed,TASK-SFADEV-NEXT-SCOPE-SELECTION-001,select_next_scope_plan,legacy_execution_v0_2,,AJ-SFADEV-15-NEXT-SCOPE-SELECTION-001,controlled,,pending,2026-07-08T20:29:00Z,Completed Director Decision selecting next-scope plan adoption AgentJob
DDR-SFADEV-16-LEGACY-PENDING-ROW-RECONCILIATION-001,control_records/director_decisions/DDR-SFADEV-16-LEGACY-PENDING-ROW-RECONCILIATION-001.yaml,completed,TASK-SFADEV-LEGACY-PENDING-ROW-RECONCILIATION-001,reconcile_legacy_pending_agentjob_rows,legacy_execution_v0_2,,AJ-SFADEV-16-LEGACY-PENDING-ROW-RECONCILIATION-001,controlled,,pending,2026-07-08T20:38:12Z,Completed Director Decision selecting legacy pending row reconciliation AgentJob
DDR-SFADEV-17-PHASE2-WALKING-SKELETON-RDR-001,control_records/director_decisions/DDR-SFADEV-17-PHASE2-WALKING-SKELETON-RDR-001.yaml,completed,TASK-SFADEV-PHASE2-WALKING-SKELETON-RDR-001,create_phase2_walking_skeleton_rdr,legacy_execution_v0_2,,AJ-SFADEV-17-PHASE2-WALKING-SKELETON-RDR-001,controlled,,pending,2026-07-08T20:49:17Z,Completed Director Decision selecting Phase 2 walking skeleton RDR AgentJob
DDR-SFADEV-18-PHASE2-WALKING-SKELETON-PRD-001,control_records/director_decisions/DDR-SFADEV-18-PHASE2-WALKING-SKELETON-PRD-001.yaml,completed,TASK-SFADEV-PHASE2-WALKING-SKELETON-PRD-001,create_phase2_walking_skeleton_prd,legacy_execution_v0_2,,AJ-SFADEV-18-PHASE2-WALKING-SKELETON-PRD-001,controlled,,pending,2026-07-08T21:04:10Z,Completed Director Decision selecting Phase 2 walking skeleton PRD AgentJob
DDR-SFADEV-19-PHASE2-WALKING-SKELETON-PLAN-001,control_records/director_decisions/DDR-SFADEV-19-PHASE2-WALKING-SKELETON-PLAN-001.yaml,completed,TASK-SFADEV-PHASE2-WALKING-SKELETON-PLAN-001,create_phase2_walking_skeleton_implementation_plan,legacy_execution_v0_2,,AJ-SFADEV-19-PHASE2-WALKING-SKELETON-PLAN-001,controlled,,pending,2026-07-08T21:25:01Z,Completed Director Decision selecting Phase 2 walking skeleton implementation plan AgentJob
DDR-SFADEV-25-SUBPRD-PROMOTION-001,control_records/director_decisions/DDR-SFADEV-25-SUBPRD-PROMOTION-001.yaml,completed,TASK-SFADEV-SUBPRD-PROMOTION-001,keep_all_subprds_as_derivative_drafts,legacy_execution_v0_2,,AJ-SFADEV-25-SUBPRD-PROMOTION-001,controlled,,pending,2026-07-08T23:18:35Z,Completed Director Decision routing all sub-PRDs as derivative drafts
DDR-SFADEV-26-NEXT-SCOPE-ACCEPTANCE-001,control_records/director_decisions/DDR-SFADEV-26-NEXT-SCOPE-ACCEPTANCE-001.yaml,completed,TASK-SFADEV-NEXT-SCOPE-ACCEPTANCE-001,close_next_scope_acceptance_packet,legacy_execution_v0_2,,AJ-SFADEV-26-NEXT-SCOPE-ACCEPTANCE-001,controlled,,pending,2026-07-08T23:34:30Z,Completed Director Decision selecting next-scope final acceptance AgentJob
DDR-SFADEV-STRATEGIC-BASELINE-001,control_records/director_decisions/DDR-SFADEV-STRATEGIC-BASELINE-001.yaml,completed,TX-02-DECISION,route_2_harness_neutral_bounded_execution,not_applicable,,,controlled,SFA-EDR-SELFHOST-001;DDR-P1-SELFHOST-001,pending,2026-07-09T23:38:26Z,Human-authorized WS-02 decision selecting the four-object identity harness-neutral bounded execution Phase 2 addendum and reflection-depth bound; prior supersession is scoped to conflicting active execution semantics.
DDR-SFADEV-STRATEGIC-BASELINE-G03-001,control_records/director_decisions/DDR-SFADEV-STRATEGIC-BASELINE-G03-001.yaml,completed,G-03-DISPOSITION,accept_candidate_normative_baseline_for_implementation,not_applicable,,,controlled,,pending,2026-07-10T04:38:30Z,Human-authorized G-03 acceptance for implementation; G-08 strategic-content approval remains explicitly open.
DDR-SFADEV-STRATEGIC-BASELINE-G04-001,control_records/director_decisions/DDR-SFADEV-STRATEGIC-BASELINE-G04-001.yaml,completed,G-04-DISPOSITION,approve_bounded_artifact_and_interface_contracts,not_applicable,,,controlled,,pending,2026-07-10T05:05:00Z,Human-authorized G-04 acceptance of exact strategic-intent artifact and future host-interface contracts; G-07 and G-08 remain open.
DDR-SFADEV-STRATEGIC-BASELINE-G05-001,control_records/director_decisions/DDR-SFADEV-STRATEGIC-BASELINE-G05-001.yaml,completed,G-05-DISPOSITION,split_boundary_scanner_from_broader_TX13_semantics,not_applicable,,,controlled,,pending,2026-07-10T13:26:21Z,Human-authorized G-05 capability-migration safety disposition and minimal pre-TX-10 boundary scanner; broader semantic validation remains assigned to TX-13.
DDR-SFADEV-STRATEGIC-BASELINE-G08-001,control_records/director_decisions/DDR-SFADEV-STRATEGIC-BASELINE-G08-001.yaml,completed,TX-18-HUMAN-APPROVAL,approve_exact_strategic_baseline_with_bounded_TX17_acceptance,not_applicable,TX-18-HUMAN-APPROVAL,,controlled,,pending,2026-07-10T18:48:03Z,Direct accountable human G-08 approval of the exact Sys4AI vision and eight values with bounded TX-17 acceptance and no host production operational stakeholder domain or permission expansion.
