memory_preflight_receipt_id,path,agentjob_id,created_at,status,queries_count,hits_count,canonical_inspections_count,stale_risks_count,source_hash,last_validated_at,notes
MEMPREFLIGHT-P1-EXAMPLE-001,control_records/memory_preflights/memory_preflight_receipt.example.yaml,AJ-P1-SKILL-SYNC-001,2026-07-06T00:00:00Z,PASS_WITH_WARNINGS,1,2,1,1,pending,pending,Example memory preflight receipt
MEMPREFLIGHT-P1-SELFHOST-ACCEPTANCE-001,control_records/memory_preflights/MEMPREFLIGHT-P1-SELFHOST-ACCEPTANCE-001.yaml,AJ-P1-SELFHOST-ACCEPTANCE-001,2026-07-06T00:00:00Z,PASS,1,3,2,1,pending,2026-07-06T00:00:00Z,Memory preflight receipt for Phase 10 acceptance
MEMPREFLIGHT-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001.yaml,AJ-SFADEV-05-RUNTIME-SKILL-RECONCILIATION-001,2026-07-07T03:11:28Z,PASS_WITH_WARNINGS,2,13,6,2,pending,2026-07-07T03:11:28Z,Memory preflight receipt for all-recommendations runtime skill reconciliation
MEMPREFLIGHT-SFADEV-01-PRD-INTEGRATION-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-01-PRD-INTEGRATION-001.yaml,AJ-SFADEV-01-PRD-INTEGRATION-001,2026-07-07T03:28:46Z,PASS_WITH_WARNINGS,2,13,8,2,pending,2026-07-07T03:28:46Z,Memory preflight receipt for all-recommendations PRD integration
MEMPREFLIGHT-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001.yaml,AJ-SFADEV-02-REGISTRY-SCHEMA-EXPANSION-001,2026-07-07T03:45:23Z,PASS_WITH_WARNINGS,2,13,5,2,pending,2026-07-07T03:45:23Z,Memory preflight receipt for all-recommendations registry and schema expansion
MEMPREFLIGHT-SFADEV-03-DISCOVERY-GATE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-03-DISCOVERY-GATE-001.yaml,AJ-SFADEV-03-DISCOVERY-GATE-001,2026-07-07T03:55:34Z,PASS_WITH_WARNINGS,2,15,7,2,pending,2026-07-07T03:55:34Z,Memory preflight receipt for all-recommendations discovery gate implementation
MEMPREFLIGHT-SFADEV-04-ROLE-GOVERNANCE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-04-ROLE-GOVERNANCE-001.yaml,AJ-SFADEV-04-ROLE-GOVERNANCE-001,2026-07-07T04:07:48Z,PASS_WITH_WARNINGS,2,13,8,2,pending,2026-07-07T04:07:48Z,Memory preflight receipt for all-recommendations role governance implementation
MEMPREFLIGHT-SFADEV-06-SKILL-LIFECYCLE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-06-SKILL-LIFECYCLE-001.yaml,AJ-SFADEV-06-SKILL-LIFECYCLE-001,2026-07-07T04:34:28Z,PASS_WITH_WARNINGS,2,17,8,2,pending,2026-07-07T04:34:28Z,Memory preflight receipt for all-recommendations skill lifecycle governance
MEMPREFLIGHT-SFADEV-07-CORE-SKILLS-BATCH-1-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-07-CORE-SKILLS-BATCH-1-001.yaml,AJ-SFADEV-07-CORE-SKILLS-BATCH-1-001,2026-07-07T04:42:23Z,PASS_WITH_WARNINGS,2,15,8,2,pending,2026-07-07T04:42:23Z,Memory preflight receipt for all-recommendations core skill scaffold batch 1
MEMPREFLIGHT-SFADEV-08-CORE-SKILLS-BATCH-2-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-08-CORE-SKILLS-BATCH-2-001.yaml,AJ-SFADEV-08-CORE-SKILLS-BATCH-2-001,2026-07-07T05:07:55Z,PASS_WITH_WARNINGS,2,15,8,2,pending,2026-07-07T05:07:55Z,Memory preflight receipt for all-recommendations core skill scaffold batch 2
MEMPREFLIGHT-SFADEV-09-GENERATED-DOCS-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-09-GENERATED-DOCS-001.yaml,AJ-SFADEV-09-GENERATED-DOCS-001,2026-07-07T05:19:36Z,PASS_WITH_WARNINGS,2,12,7,2,pending,2026-07-07T05:19:36Z,Memory preflight receipt for all-recommendations generated docs and derivative governance
MEMPREFLIGHT-SFADEV-10-END-TO-END-ACCEPTANCE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-10-END-TO-END-ACCEPTANCE-001.yaml,AJ-SFADEV-10-END-TO-END-ACCEPTANCE-001,2026-07-07T05:32:54Z,PASS_WITH_WARNINGS,2,9,6,2,pending,2026-07-07T05:32:54Z,Memory preflight receipt for all-recommendations end-to-end acceptance
MEMPREFLIGHT-SYS4AI-DEV-NAME-MIGRATION-001,control_records/memory_preflights/MEMPREFLIGHT-SYS4AI-DEV-NAME-MIGRATION-001.yaml,AJ-SYS4AI-DEV-NAME-MIGRATION-001,2026-07-07T12:00:00Z,PASS_WITH_WARNINGS,2,5,4,2,pending,2026-07-07T12:00:00Z,Memory preflight receipt for Sys4AI and Sys4AI-dev name migration
MEMPREFLIGHT-SFADEV-11-INIT-FRONTDOOR-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-11-INIT-FRONTDOOR-001.yaml,AJ-SFADEV-11-INIT-FRONTDOOR-001,2026-07-07T18:00:00Z,PASS_WITH_WARNINGS,2,8,5,2,pending,2026-07-07T18:00:00Z,Memory preflight receipt for init front-door implementation
MEMPREFLIGHT-SFADEV-12-DISCOVERY-GATE-SMOKE-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-12-DISCOVERY-GATE-SMOKE-001.yaml,AJ-SFADEV-12-DISCOVERY-GATE-SMOKE-001,2026-07-07T23:58:03Z,PASS_WITH_WARNINGS,2,8,6,2,pending,2026-07-07T23:58:03Z,Memory preflight receipt for discovery gate smoke validation
MEMPREFLIGHT-SFADEV-13-PLAN-CONTROL-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-13-PLAN-CONTROL-001.yaml,AJ-SFADEV-13-PLAN-CONTROL-001,2026-07-08T00:33:02Z,PASS_WITH_WARNINGS,2,6,5,2,pending,2026-07-08T00:33:02Z,Memory preflight receipt for plan-control compatibility pointer
MEMPREFLIGHT-SFADEV-14-PLAN-COMPLETION-AUDIT-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-14-PLAN-COMPLETION-AUDIT-001.yaml,AJ-SFADEV-14-PLAN-COMPLETION-AUDIT-001,2026-07-08T00:46:59Z,PASS_WITH_WARNINGS,2,9,7,2,pending,2026-07-08T00:46:59Z,Memory preflight receipt for plan completion audit
MEMPREFLIGHT-SFADEV-15-NEXT-SCOPE-SELECTION-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-15-NEXT-SCOPE-SELECTION-001.yaml,AJ-SFADEV-15-NEXT-SCOPE-SELECTION-001,2026-07-08T20:29:00Z,PASS_WITH_WARNINGS,2,8,5,2,pending,2026-07-08T20:29:00Z,Memory preflight receipt for next-scope selection and plan adoption
MEMPREFLIGHT-SFADEV-16-LEGACY-PENDING-ROW-RECONCILIATION-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-16-LEGACY-PENDING-ROW-RECONCILIATION-001.yaml,AJ-SFADEV-16-LEGACY-PENDING-ROW-RECONCILIATION-001,2026-07-08T20:38:12Z,PASS_WITH_WARNINGS,2,8,6,2,pending,2026-07-08T20:38:12Z,Memory preflight receipt for legacy pending AgentJob row reconciliation
MEMPREFLIGHT-SFADEV-17-PHASE2-WALKING-SKELETON-RDR-001,control_records/memory_preflights/MEMPREFLIGHT-SFADEV-17-PHASE2-WALKING-SKELETON-RDR-001.yaml,AJ-SFADEV-17-PHASE2-WALKING-SKELETON-RDR-001,2026-07-08T20:49:17Z,PASS_WITH_WARNINGS,2,12,9,3,pending,2026-07-08T20:49:17Z,Memory preflight receipt for Phase 2 walking skeleton RDR
